"actor_id","first_name","last_name","last_update"
1,PENELOPE,GUINESS,2008-09-03T20:56:35.450
2,NICK,WAHLBERG,2006-02-15 09:34:33.000
3,ED,CHASE,2006-02-15 09:34:33.000
4,JENNIFER,DAVIS,2006-02-15 09:34:33.000
5,JOHNNY,LOLLOBRIGIDA,2006-02-15 09:34:33.000
6,BETTE,NICHOLSON,2006-02-15 09:34:33.000
7,GRACE,MOSTEL,2006-02-15 09:34:33.000
8,MATTHEW,JOHANSSON,2006-02-15 09:34:33.000
9,JOE,SWANK,2006-02-15 09:34:33.000
10,CHRISTIAN,GABLE,2006-02-15 09:34:33.000
11,ZERO,CAGE,2006-02-15 09:34:33.000
12,KARL,BERRY,2006-02-15 09:34:33.000
13,UMA,WOOD,2006-02-15 09:34:33.000
14,VIVIEN,BERGEN,2006-02-15 09:34:33.000
15,CUBA,OLIVIER,2006-02-15 09:34:33.000
16,FRED,COSTNER,2006-02-15 09:34:33.000
17,HELEN,VOIGHT,2006-02-15 09:34:33.000
18,DAN,TORN,2006-02-15 09:34:33.000
19,BOB,FAWCETT,2006-02-15 09:34:33.000
20,LUCILLE,TRACY,2006-02-15 09:34:33.000
21,KIRSTEN,PALTROW,2006-02-15 09:34:33.000
22,ELVIS,MARX,2006-02-15 09:34:33.000
23,SANDRA,KILMER,2006-02-15 09:34:33.000
24,CAMERON,STREEP,2006-02-15 09:34:33.000
25,KEVIN,BLOOM,2006-02-15 09:34:33.000
26,RIP,CRAWFORD,2006-02-15 09:34:33.000
27,JULIA,MCQUEEN,2006-02-15 09:34:33.000
28,WOODY,HOFFMAN,2006-02-15 09:34:33.000
29,ALEC,WAYNE,2006-02-15 09:34:33.000
30,SANDRA,PECK,2006-02-15 09:34:33.000
31,SISSY,SOBIESKI,2006-02-15 09:34:33.000
32,TIM,HACKMAN,2006-02-15 09:34:33.000
33,MILLA,PECK,2006-02-15 09:34:33.000
34,AUDREY,OLIVIER,2006-02-15 09:34:33.000
35,JUDY,DEAN,2006-02-15 09:34:33.000
36,BURT,DUKAKIS,2006-02-15 09:34:33.000
37,VAL,BOLGER,2006-02-15 09:34:33.000
38,TOM,MCKELLEN,2006-02-15 09:34:33.000
39,GOLDIE,BRODY,2006-02-15 09:34:33.000
40,JOHNNY,CAGE,2006-02-15 09:34:33.000
41,JODIE,DEGENERES,2006-02-15 09:34:33.000
42,TOM,MIRANDA,2006-02-15 09:34:33.000
43,KIRK,JOVOVICH,2006-02-15 09:34:33.000
44,NICK,STALLONE,2006-02-15 09:34:33.000
45,REESE,KILMER,2006-02-15 09:34:33.000
46,PARKER,GOLDBERG,2006-02-15 09:34:33.000
47,JULIA,BARRYMORE,2006-02-15 09:34:33.000
48,FRANCES,DAY-LEWIS,2006-02-15 09:34:33.000
